iter	Passed	Remaining
0	3	3453
1	6	3151
2	7	2613
3	10	2540
4	12	2506
5	15	2508
6	17	2545
7	20	2554
8	22	2462
9	24	2453
10	27	2430
11	29	2435
12	32	2430
13	34	2427
14	36	2403
15	38	2386
16	41	2389
17	43	2387
18	46	2386
19	48	2394
20	51	2379
21	53	2392
22	56	2402
23	58	2398
24	61	2395
25	63	2387
26	65	2371
27	68	2371
28	70	2367
29	73	2369
30	76	2392
31	79	2407
32	81	2393
33	84	2396
34	87	2402
35	89	2397
36	92	2400
37	94	2401
38	97	2397
39	99	2388
40	102	2387
41	104	2384
42	106	2381
43	109	2379
44	111	2367
45	113	2361
46	116	2355
47	118	2349
48	120	2345
49	123	2340
50	125	2336
51	127	2332
52	130	2325
53	132	2320
54	135	2319
55	137	2313
56	139	2306
57	142	2306
58	144	2306
59	146	2287
60	148	2281
61	150	2273
62	152	2269
63	154	2261
64	156	2252
65	159	2252
66	161	2250
67	163	2247
68	166	2242
69	168	2244
70	171	2240
71	173	2237
72	176	2235
73	178	2230
74	180	2222
75	181	2207
76	183	2202
77	186	2201
78	188	2200
79	191	2203
80	193	2196
81	195	2189
82	196	2169
83	198	2168
84	201	2169
85	203	2167
86	206	2165
87	208	2162
88	210	2158
89	213	2159
90	216	2159
91	218	2159
92	221	2158
93	223	2156
94	226	2153
95	228	2149
96	230	2146
97	233	2145
98	235	2142
99	237	2140
100	240	2137
101	242	2134
102	245	2134
103	247	2133
104	249	2128
105	252	2125
106	254	2120
107	256	2116
108	258	2114
109	260	2111
110	263	2108
111	265	2104
112	267	2100
113	269	2090
114	271	2089
115	273	2087
116	275	2082
117	278	2079
118	280	2077
119	282	2074
120	285	2073
121	287	2070
122	290	2069
123	292	2069
124	295	2066
125	297	2063
126	299	2056
127	301	2055
128	304	2058
129	307	2058
130	310	2058
131	312	2054
132	314	2051
133	317	2052
134	320	2050
135	322	2049
136	324	2046
137	327	2046
138	329	2041
139	331	2037
140	333	2034
141	335	2026
142	337	2022
143	340	2021
144	341	2016
145	344	2014
146	346	2010
147	348	2008
148	351	2008
149	354	2007
150	356	2005
151	359	2005
152	361	2002
153	364	2001
154	366	1998
155	369	1997
156	371	1994
157	374	1993
158	377	1995
159	379	1993
160	381	1988
161	384	1987
162	386	1982
163	388	1979
164	390	1978
165	393	1976
166	396	1975
167	398	1975
168	401	1973
169	403	1971
170	406	1969
171	409	1969
172	411	1967
173	414	1965
174	416	1961
175	418	1959
176	421	1957
177	423	1955
178	425	1953
179	428	1950
180	430	1947
181	433	1946
182	435	1945
183	438	1943
184	440	1941
185	443	1939
186	445	1937
187	447	1934
188	450	1932
189	452	1930
190	455	1929
191	458	1927
192	460	1924
193	463	1923
194	465	1921
195	468	1922
196	471	1920
197	473	1917
198	475	1912
199	477	1910
200	479	1907
201	482	1905
202	484	1904
203	487	1902
204	489	1898
205	492	1896
206	494	1895
207	497	1895
208	500	1893
209	502	1890
210	504	1887
211	507	1885
212	509	1884
213	512	1881
214	514	1879
215	517	1878
216	519	1876
217	522	1874
218	524	1871
219	527	1868
220	529	1866
221	531	1863
222	533	1859
223	535	1856
224	538	1853
225	540	1851
226	543	1849
227	545	1846
228	547	1844
229	550	1843
230	553	1841
231	555	1838
232	557	1835
233	560	1833
234	562	1830
235	564	1828
236	567	1825
237	569	1823
238	571	1819
239	573	1817
240	576	1814
241	578	1812
242	580	1809
243	583	1807
244	585	1804
245	587	1802
246	590	1799
247	592	1796
248	594	1793
249	597	1791
250	599	1787
251	601	1784
252	603	1782
253	606	1781
254	608	1778
255	611	1776
256	613	1774
257	616	1772
258	618	1769
259	620	1765
260	622	1763
261	625	1761
262	627	1759
263	630	1757
264	644	1787
